iter	Passed	Remaining
1130	25427	8296
1131	25448	8273
1132	25469	8250
1133	25489	8226
1134	25512	8204
1135	25533	8181
1136	25554	8158
1137	25574	8135
1138	25597	8112
1139	25617	8089
1140	25640	8067
1141	25665	8045
1142	25688	8023
1143	25710	8000
1144	25733	7978
1145	25753	7955
1146	25775	7932
1147	25795	7909
1148	25816	7886
1149	25835	7863
1150	25855	7839
1151	25875	7816
1152	25896	7793
1153	25916	7770
1154	25937	7747
1155	25960	7725
1156	25980	7702
1157	26002	7679
1158	26021	7656
1159	26041	7632
1160	26062	7609
1161	26081	7586
1162	26102	7563
1163	26123	7540
1164	26143	7517
1165	26162	7494
1166	26184	7471
1167	26204	7448
1168	26224	7425
1169	26244	7402
1170	26265	7379
1171	26286	7356
1172	26308	7334
1173	26328	7311
1174	26348	7287
1175	26369	7265
1176	26389	7242
1177	26409	7218
1178	26429	7195
1179	26449	7172
1180	26469	7149
1181	26490	7126
1182	26509	7103
1183	26529	7080
1184	26548	7057
1185	26569	7034
1186	26592	7012
1187	26612	6989
1188	26637	6967
1189	26659	6944
1190	26679	6921
1191	26700	6899
1192	26722	6876
1193	26744	6854
1194	26766	6831
1195	26790	6809
1196	26811	6786
1197	26830	6763
1198	26851	6740
1199	26873	6718
1200	26895	6695
1201	26918	6673
1202	26940	6651
1203	26965	6629
1204	26988	6607
1205	27006	6583
1206	27027	6560
1207	27051	6538
1208	27071	6515
1209	27094	6493
1210	27113	6470
1211	27135	6447
1212	27154	6424
1213	27175	6402
1214	27197	6379
1215	27218	6356
1216	27240	6334
1217	27262	6311
1218	27283	6289
1219	27304	6266
1220	27324	6243
1221	27343	6220
1222	27366	6198
1223	27390	6176
1224	27411	6153
1225	27433	6131
1226	27452	6108
1227	27473	6085
1228	27495	6062
1229	27513	6039
1230	27535	6017
1231	27557	5994
1232	27577	5971
1233	27598	5949
1234	27618	5926
1235	27639	5903
1236	27658	5880
1237	27680	5858
1238	27702	5835
1239	27722	5812
1240	27747	5791
1241	27772	5769
1242	27793	5746
1243	27818	5724
1244	27841	5702
1245	27864	5680
1246	27886	5657
1247	27907	5635
1248	27928	5612
1249	27949	5589
1250	27968	5566
1251	27987	5543
1252	28007	5521
1253	28045	5501
1254	28071	5480
1255	28091	5457
1256	28109	5434
1257	28127	5410
1258	28148	5388
1259	28168	5365
1260	28189	5342
1261	28209	5319
1262	28230	5297
1263	28250	5274
1264	28273	5252
1265	28293	5229
1266	28312	5206
1267	28334	5184
1268	28355	5161
1269	28377	5139
1270	28397	5116
1271	28419	5094
1272	28441	5071
1273	28459	5048
1274	28479	5025
1275	28499	5003
1276	28519	4980
1277	28538	4957
1278	28558	4934
1279	28578	4912
1280	28598	4889
1281	28619	4866
1282	28640	4844
1283	28661	4821
1284	28681	4798
1285	28701	4776
1286	28721	4753
1287	28742	4730
1288	28762	4708
1289	28788	4686
1290	28809	4664
1291	28828	4641
1292	28855	4619
1293	28874	4596
1294	28895	4574
1295	28917	4551
1296	28939	4529
1297	28958	4506
1298	28979	4484
1299	29001	4461
1300	29022	4439
1301	29044	4416
1302	29064	4394
1303	29084	4371
1304	29105	4349
1305	29125	4326
1306	29147	4304
1307	29167	4281
1308	29190	4259
1309	29212	4236
1310	29233	4214
1311	29255	4192
1312	29274	4169
1313	29300	4147
1314	29320	4124
